[2025-08-19 07:42:21,422: INFO: __init__: Data Preprocessing Ended Successfully]
[2025-08-19 07:42:21,492: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-19 07:42:21,492: INFO: __init__: Data Preprocessing Started]
[2025-08-19 07:42:21,497: INFO: __init__: Data Preprocessing Ended Successfully]
[2025-08-19 07:42:21,543: INFO: __init__: Data Ingestion Started]
[2025-08-19 07:42:21,630: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-19 07:42:21,631: INFO: __init__: Data Preprocessing Started]
[2025-08-19 07:42:21,632: INFO: __init__: Data Preprocessing Ended Successfully]
[2025-08-19 07:43:11,460: INFO: __init__: Data Ingestion Started]
[2025-08-19 07:43:11,715: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-19 07:43:11,715: INFO: __init__: Data Preprocessing Started]
[2025-08-19 07:43:11,717: INFO: __init__: Data Preprocessing Ended Successfully]
[2025-08-19 07:43:14,894: INFO: __init__: Data Ingestion Started]
[2025-08-19 07:43:15,164: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-19 07:43:15,165: INFO: __init__: Data Preprocessing Started]
[2025-08-19 07:43:15,167: INFO: __init__: Data Preprocessing Ended Successfully]
[2025-08-19 07:43:15,440: INFO: __init__: Data Ingestion Started]
[2025-08-19 07:43:15,806: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-19 07:43:15,808: INFO: __init__: Data Preprocessing Started]
[2025-08-19 07:43:15,810: INFO: __init__: Data Preprocessing Ended Successfully]
[2025-08-19 16:33:03,791: INFO: __init__: Data Ingestion Started]
[2025-08-19 16:33:09,936: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-19 16:33:09,936: INFO: __init__: Data Preprocessing Started]
[2025-08-19 16:33:09,936: INFO: __init__: Data Preprocessing Ended Successfully]
[2025-08-19 16:34:01,235: INFO: __init__: Data Ingestion Started]
[2025-08-19 16:34:01,476: INFO: __init__: Data Ingestion Ended Successfully]
[2025-08-19 16:34:01,476: INFO: __init__: Data Preprocessing Started]
[2025-08-19 16:34:01,482: INFO: __init__: Data Preprocessing Ended Successfully]
